No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_1.stopped,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_5.started,text_4.stopped,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,fix.started,main_image_2.stopped,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,participant,session,date,expName,psychopyVersion,frameRate,
98,Week,星期二,星期三 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,29,29,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.116884900257,1.0125545002520084,278.20791309978813,278.1246657995507,279.0076979994774,279.10784169938415,279.10784169938415,279.10784169938415,left,1,0.941376100294292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
114,Week,星期四,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,30,30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.08171929977834,1.0129500003531575,281.17364329937845,281.0906205996871,281.9734535999596,282.0734700001776,282.0734700001776,282.0734700001776,up,1,1.0235750004649162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,31,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.13032600004226,0.9992625005543232,284.2228768002242,284.13961640000343,285.02239970024675,285.12249139975756,285.12249139975756,285.12249139975756,left,1,0.7107884995639324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
112,Week,星期二,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,32,32,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.86036179959774,1.0153181999921799,286.95504860021174,286.8720247000456,287.75498369988054,287.8549438994378,287.8549438994378,287.8549438994378,up,1,0.7302682995796204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
99,Week,星期三 ,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,33,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.6141988998279,1.0104526998475194,289.70419119950384,289.62104059942067,290.5040172999725,290.6039626998827,290.6039626998827,290.6039626998827,left,1,0.741410699672997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
141,Week,星期五,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,34,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.3783865002915,1.012085199356079,292.46991449967027,292.38672390021384,293.26989119965583,293.3697820995003,293.3697820995003,293.3697820995003,down,1,0.7828767998144031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
50,Month,八月,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.1867081001401,1.0118427006527781,295.26905389968306,295.1857620999217,296.0688308002427,296.1688304999843,296.1688304999843,296.1688304999843,left,1,0.8080508997663856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
150,Week,星期日,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,36,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0091175995767,1.0156638994812965,298.1014192001894,298.01819849945605,298.90126249939203,299.0012577995658,299.0012577995658,299.0012577995658,up,1,1.3109083995223045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
13,Month,四月,七月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,37,37,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.3444039002061,1.0098812002688646,301.43359520006925,301.35047210007906,302.2334348997101,302.33336609974504,302.33336609974504,302.33336609974504,right,1,0.8833990003913641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
78,Month,十月 ,八月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,38,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.24282369948924,1.0135988993570209,304.3329617995769,304.24949089996517,305.13235170021653,305.23242329992354,305.23242329992354,305.23242329992354,up,1,0.8717681998386979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
24,Month,四月,六月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,39,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.1450244002044,1.012062200345099,307.2320258002728,307.1485369000584,308.03146590013057,308.1314773000777,308.1314773000777,308.1314773000777,up,1,1.1577813997864723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.32512649986893,1.0124805001541972,310.41406730003655,310.3308240994811,311.2139243995771,311.3137075994164,311.3137075994164,311.3137075994164,right,1,0.6479569999501109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,41,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.9895812999457,1.01283620018512,313.0798960002139,312.99672789964825,313.8796902000904,313.979684099555,313.979684099555,313.979684099555,right,1,1.5004400992766023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
34,Month,六月,二月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,42,42,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.52477919962257,1.010390699841082,316.6120235994458,316.5287506999448,317.4118069000542,317.51192620024085,317.51192620024085,317.51192620024085,right,1,1.7282416997477412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
116,Week,星期六,星期日,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,43,43,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.2652484001592,1.0156112993136048,320.36081389989704,320.2775245998055,321.16053340025246,321.26062959991395,321.26062959991395,321.26062959991395,up,1,1.0122262993827462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
150,Week,星期六,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,44,44,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.30541890021414,1.0151799004524946,323.39309909939766,323.3099318994209,324.1928436998278,324.2929202998057,324.2929202998057,324.2929202998057,up,1,0.8675605999305844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
59,Month,七月,三月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,45,45,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.2053530002013,1.0113888997584581,326.2921693995595,326.20903140027076,327.09194489941,327.19211179949343,327.19211179949343,327.19211179949343,up,1,0.7604858996346593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
101,Week,星期五,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,46,46,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.9937713993713,1.0105865001678467,329.0745861995965,329.0079015996307,329.8743209997192,329.97432549949735,329.97432549949735,329.97432549949735,left,1,1.0665194997563958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
1,Month,一月,二月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,47,47,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.06647969968617,1.0104769999161363,332.1569194002077,332.0735585996881,332.9565936997533,333.056671500206,333.056671500206,333.056671500206,left,1,0.7434069998562336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
118,Week,星期一,星期四,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,48,48,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.8373790998012,1.0093315998092294,334.92252840008587,334.8395341997966,335.7222442999482,335.82245260011405,335.82245260011405,335.82245260011405,down,1,0.8904194999486208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,49,49,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.74571860022843,0.9990059994161129,337.83831629995257,337.7548198001459,338.63825580012053,338.7381148999557,338.7381148999557,338.7381148999557,up,1,0.7598655996844172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.5214903000742,339.5214903000742,space,9.230541300028563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,Spring 1.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 1.jpg,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.92620559968054,352.7534215999767,352.9334023995325,354.766000200063,354.766000200063,354.766000200063,354.766000200063,left,0,1.6586357997730374,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,Spring 5.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 5.jpg,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.95804610010237,360.43638699967414,360.96418919973075,362.44682629965246,362.44682629965246,362.44682629965246,362.44682629965246,right,0,0.5372509993612766,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,Spring 3.jpg,这是夏天吗？,否,Right,Break_material/Image/Spring 3.jpg,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.3389419997111,366.9988107001409,367.34511419944465,369.0110985999927,369.0110985999927,369.0110985999927,369.0110985999927,right,0,0.43746479973196983,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,Spring 6.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 6.jpg,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.11684670019895,373.46483050007373,374.12652259971946,375.47597429994494,375.47597429994494,375.47597429994494,375.47597429994494,left,0,0.46153640002012253,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,Spring 2.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 2.jpg,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.2697644997388,379.94432900007814,380.2740797000006,381.9569627000019,381.9569627000019,381.9569627000019,381.9569627000019,right,0,0.3483411995694041,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,Spring 4.jpg,这是秋天吗？,否,Right,Break_material/Image/Spring 4.jpg,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.5887664994225,386.30966169945896,386.5887668998912,388.3214544998482,388.3214544998482,388.3214544998482,388.3214544998482,right,0,0.44749659951776266,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.7884553000331,388.7884553000331,space,2.948039999231696,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
126,Week,星期五,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,0,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.80574329942465,0.9992560995742679,392.85335069987923,392.819937299937,393.6530473995954,393.7530990000814,393.7530990000814,393.7530990000814,right,1,0.7511668996885419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
16,Month,七月,十月 ,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,1,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.5480701001361,1.010720300488174,395.63567840028554,395.55241370014846,396.4354203995317,396.53542429953814,396.53542429953814,396.53542429953814,right,1,0.9455279996618629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
82,Month,六月,五月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,,,,,,,,,0,2,2,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.51164789963514,1.0111113004386425,398.6014906000346,398.5181521996856,399.4012193996459,399.5012154998258,399.5012154998258,399.5012154998258,up,1,2.0275721000507474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
142,Week,星期日,星期四,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,3,3,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.5617245994508,1.0140152992680669,402.65009570028633,402.56677469983697,403.45003309939057,403.5498468996957,403.5498468996957,403.5498468996957,down,1,2.107251800596714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
39,Month,九月 ,十一月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,,,,,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.69426969997585,1.010651900433004,406.78218169976026,406.6988477995619,407.58166419994086,407.6817495999858,407.6817495999858,407.6817495999858,down,1,1.2061660001054406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
2,Month,二月,五月,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,5,5,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.93017159961164,1.011018200777471,410.01427179947495,409.9309585997835,410.8140941001475,410.9140817997977,410.9140817997977,410.9140817997977,left,1,0.8070890000090003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
141,Week,星期六,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,6,6,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.75601040013134,1.0122648999094963,412.84669080004096,412.76335289981216,413.6463799001649,413.74649519938976,413.74649519938976,413.74649519938976,down,1,0.9178714994341135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
18,Month,九月 ,十二月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.70737239997834,1.0106442999094725,415.79593240004033,415.7123916000128,416.5954962996766,416.6954487999901,416.6954487999901,416.6954487999901,right,1,0.921811499632895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
84,Month,八月,七月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,,,,,,,,,0,8,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.65357290022075,1.0128413001075387,418.7447323994711,418.6614415999502,419.5444446997717,419.64454980008304,419.64454980008304,419.64454980008304,up,1,0.7883865004405379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
46,Month,八月,六月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.4709898997098,1.0142461005598307,421.56063190009445,421.4772189995274,422.36032370012254,422.4602844994515,422.4602844994515,422.4602844994515,right,1,0.7015094999223948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
6,Month,六月,九月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,10,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.2024371996522,1.011459699831903,424.2929223002866,424.20968129951507,425.09266659989953,425.1926384996623,425.1926384996623,425.1926384996623,left,1,0.7684925999492407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
16,Month,八月,十二月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,11,11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0013569993898,1.0137195000424981,427.09204529970884,427.0088039999828,427.89179109968245,427.99202269967645,427.99202269967645,427.99202269967645,right,1,1.0088472990319133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
108,Week,星期五,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.0336159002036,1.0108946999534965,430.12427300028503,430.04115239996463,430.92414879985154,431.0240254998207,431.0240254998207,431.0240254998207,right,1,0.8478018995374441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
114,Week,星期四,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.90240199957043,1.0156813003122807,432.99026979971677,432.90677709970623,433.7897621002048,433.88974259980023,433.88974259980023,433.88974259980023,up,1,0.7197246998548508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
43,Month,十月 ,七月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.6471240995452,1.013112399727106,435.7391854999587,435.6559135997668,436.538956400007,436.6388465994969,436.6388465994969,436.6388465994969,right,1,0.9453862998634577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2023-11-15_15h59.38.773,ETproject_Chi_2023.1.1,2023.1.1,59.99934007208213,
