No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
23,Month,七月,十一月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,30,30,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.10604560002685,1.013104099954944,299.11315849999664,299.1964090000256,299.99629879998975,300.0963620999828,300.0963620999828,300.0963620999828,up,1,1.418876799987629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
112,Week,星期二,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,31,31,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.55675920000067,1.0115297999582253,302.56203810003353,302.6452304000268,303.4451492999797,303.5449949000031,303.5449949000031,303.5449949000031,up,1,1.6267601000145078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
78,Month,十月 ,八月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,32,32,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.2078375000274,1.0110028999624774,306.2108456999995,306.29400609998265,307.09383399999933,307.1937210999895,307.1937210999895,307.1937210999895,up,1,1.2262735000113025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
24,Month,六月,九月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.45623010001145,1.0100452000042424,309.45985510002356,309.5429606999969,310.3426407999941,310.44281229999615,310.44281229999615,310.44281229999615,up,1,0.9682975999894552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
29,Month,七月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,0,34,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.4507156999898,1.0121708999504335,312.4588379000197,312.54212649998954,313.3418647000217,313.44173700001556,313.44173700001556,313.44173700001556,up,1,0.825447199982591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,35,35,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.29837010003394,0.9990405999706127,315.3079039999866,315.39116790000116,316.19085820001783,316.2909675000119,316.2909675000119,316.2909675000119,left,1,1.3212708999635652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
6,Month,六月,十月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,0,36,36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.65288750000764,1.010430299967993,318.6568008000031,318.7400812000269,319.5398773000343,319.6397528999951,319.6397528999951,319.6397528999951,left,1,1.81987459998345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
97,Week,星期一,星期四,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,37,37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.50004930002615,1.0099941999651492,322.50548019999405,322.58877540001413,323.38848570000846,323.48867779999273,323.48867779999273,323.48867779999273,left,1,0.9544076999882236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
34,Month,六月,二月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,38,38,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.48026630003005,1.0106667000218295,325.4878437999869,325.571164300025,326.3708311999799,326.47085799998604,326.47085799998604,326.47085799998604,right,1,1.0683756000362337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
143,Week,星期六,星期五,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,39,39,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.57534799998393,1.0150194999878295,329.5865034000017,329.66995200002566,330.4696612000116,330.569473200012,330.569473200012,330.569473200012,down,1,1.9226833000429906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,40,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.53107959998306,1.0121389999985695,333.53506480000215,333.6185002999846,334.41810990002705,334.518218000012,334.518218000012,334.518218000012,right,1,1.4057068999973126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,41,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.95984319999116,1.0117344000027515,336.96736080001574,337.05074360000435,337.8503646000172,337.95041240000864,337.95041240000864,337.95041240000864,right,1,0.8301929999724962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
13,Month,四月,七月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,42,42,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.81051979999756,1.010880499961786,339.81635849998565,339.8996652000351,340.69959139998537,340.7995163000305,340.7995163000305,340.7995163000305,right,1,0.8914573999936692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
101,Week,星期五,星期日,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,43,43,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.7274370000232,1.0113465000176802,342.73209160001716,342.8153945999802,343.6150354000274,343.7152465999825,343.7152465999825,343.7152465999825,left,1,0.7451264000264928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,0,44,44,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.4852171000093,1.0158195999683812,345.49799220002024,345.58121740003116,346.3810067999875,346.48098220000975,346.48098220000975,346.48098220000975,right,1,1.275511599960737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
34,Month,七月,十月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,45,45,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.788046200003,0.9993514999514446,348.79674970003543,348.88032370002475,349.679918800015,349.77985220000846,349.77985220000846,349.77985220000846,down,1,1.2246378000127152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
45,Month,九月 ,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,46,46,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.0376324999961,1.0111706999596208,352.0456726999837,352.12915480002994,352.928731299995,353.0288174999878,353.0288174999878,353.0288174999878,left,1,1.2390927000087686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
59,Month,七月,三月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.30596630001673,1.0104570999974385,355.3114299000008,355.39454539999133,356.194356699998,356.29434989998117,356.29434989998117,356.29434989998117,up,1,1.9574789000325836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
62,Month,十月 ,六月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,48,48,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.2866594999796,1.0105025000520982,359.29328380001243,359.376854000031,360.1763596999808,360.27638250001473,360.27638250001473,360.27638250001473,up,1,1.3114462999510579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,49,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.6221801000065,1.011963700002525,362.62565290002385,362.70888330001617,363.50868790003005,363.6086077999789,363.6086077999789,363.6086077999789,up,0,1.5478758999961428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.17498220002744,365.17498220002744,space,22.076005600043572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,Spring 5.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 5.jpg,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.80110510002123,391.25381379999453,391.79928330000257,393.2655337000033,393.2655337000033,393.2655337000033,393.2655337000033,right,0,0.9070331999682821,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,Spring 6.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 6.jpg,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0781986999791,398.1860759999836,399.0801377000171,400.1965153000201,400.1965153000201,400.1965153000201,400.1965153000201,left,0,0.9515751999570057,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,Spring 4.jpg,这是秋天吗？,否,Right,Break_material/Image/Spring 4.jpg,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.59097190003376,405.1652914999868,405.5956085000071,407.17734539997764,407.17734539997764,407.17734539997764,407.17734539997764,right,0,0.5616594000020996,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,Spring 1.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 1.jpg,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.88136499997927,411.7462109000189,411.8924507999909,413.75844469998265,413.75844469998265,413.75844469998265,413.75844469998265,left,0,0.6375458999536932,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,Spring 2.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 2.jpg,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.534432800021,418.41033280000556,418.540262399998,420.4230618000147,420.4230618000147,420.4230618000147,420.4230618000147,right,0,0.3559825000120327,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,Spring 3.jpg,这是夏天吗？,否,Right,Break_material/Image/Spring 3.jpg,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.9079694999964,424.79250650003087,424.9047664999962,426.80405999999493,426.80405999999493,426.80405999999493,426.80405999999493,right,0,4.471457099949475,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.3028502999805,431.3028502999805,space,4.092922699986957,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
70,Month,十月 ,七月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.49299150001025,0.9993959999992512,436.5010751999798,436.5010751999798,437.3007702000323,437.41742660000455,437.41742660000455,437.41742660000455,up,1,2.0588243000092916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
29,Month,五月,九月 ,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.5094872000045,1.0110729999723844,440.51645510003436,440.59992080001393,441.39961900003254,441.4995846999809,441.4995846999809,441.4995846999809,down,1,1.4400579000357538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
39,Month,十一月 ,七月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,,,,,,,,,0,2,2,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.979036499979,1.0104283000109717,443.9821022999822,444.0653278999962,444.86528830003226,444.9652323999908,444.9652323999908,444.9652323999908,right,1,1.2696680999943055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
13,Month,二月,三月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,3,3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.27993810002226,1.0100515999947675,447.2812095999834,447.36434319999535,448.16415780002717,448.26401789998636,448.26401789998636,448.26401789998636,right,1,1.2118539999937639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
10,Month,二月,六月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.501524900028,0.9991980000049807,451.51295080001,451.5961871999898,452.3959534000023,452.49598880001577,452.49598880001577,452.49598880001577,right,1,2.62831149995327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
61,Month,十月 ,七月,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.15543819998857,1.0130241000442766,456.1613558999961,456.2447840999812,457.04455669998424,457.1445180000155,457.1445180000155,457.1445180000155,down,1,1.428130499960389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
126,Week,星期四,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,6,6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.5989271000144,1.0155628999928012,459.61045580002246,459.6935721000191,460.49328589998186,460.59341790003236,460.59341790003236,460.59341790003236,right,1,2.0335151000181213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
59,Month,五月,四月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,,,,,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.66923719999613,1.0135110999690369,463.67563930002507,463.7589224000112,464.5587463999982,464.65879780001706,464.65879780001706,464.65879780001706,left,1,0.8731192999985069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
114,Week,星期四,星期五,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.5706945999991,1.0110559000167996,466.57473679998657,466.6579586000298,467.4575978000066,467.5577234000084,467.5577234000084,467.5577234000084,up,1,1.9426386999548413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
7,Month,七月,十一月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,9,9,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.5295457000029,1.0147316999500617,470.5399367000209,470.6232976000174,471.423130900017,471.52325680002104,471.52325680002104,471.52325680002104,left,1,0.9051844999776222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
57,Month,三月,二月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,,,,,,,,,0,10,10,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.46811210003216,0.9994550000410527,474.4721321000252,474.55539470002986,475.35512010002276,475.45512070000404,475.45512070000404,475.45512070000404,left,1,1.1490851999842562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
23,Month,一月,二月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,11,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.63321729999734,1.0105032999999821,477.6377554999781,477.7210478000343,478.52081539999926,478.6208267000038,478.6208267000038,478.6208267000038,up,1,0.9269602000131272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
6,Month,六月,九月 ,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,12,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.57950390002225,1.0112243000185117,480.5867409000057,480.6702840999933,481.46980810002424,481.5699469000101,481.5699469000101,481.5699469000101,left,1,1.0176068000146188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
60,Month,十二月,十月 ,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,13,13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.626737100014,0.999091099947691,483.6357824000297,483.71916799998144,484.51878779998515,484.61875840002904,484.61875840002904,484.61875840002904,left,1,1.1122165000415407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
141,Week,星期六,星期三 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,14,14,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.7609773000004,0.9990464000147767,486.7679898000206,486.85146969999187,487.65094060002593,487.7511635000119,487.7511635000119,487.7511635000119,down,1,1.171838000009302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
1,Month,一月,四月,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,15,15,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.9561237000162,0.9990450000041164,489.96697290003067,490.05031700001564,490.8500031000003,490.95000230002915,490.95000230002915,490.95000230002915,left,1,0.7345531000173651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2023-11-19_15h28.48.970,ETproject_Chi_2023.1.1,2023.1.1,59.93723373932769,
