No,Category,earlier_stim,later_stim,conguency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position,distance,congruency,Image,Qustion,Response,CorrAns,Path,prac_block.thisRepN,prac_block.thisTrialN,prac_block.thisN,prac_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,break1.thisRepN,break1.thisTrialN,break1.thisN,break1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,break2.thisRepN,break2.thisTrialN,break2.thisN,break2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,break3.thisRepN,break3.thisTrialN,break3.thisN,break3.thisIndex,block4.thisRepN,block4.thisTrialN,block4.thisN,block4.thisIndex,intro_1.started,intro_2.started,intro2_resp.started,intro2_resp.keys,intro2_resp.rt,Intro_3.started,intro3_resp.started,intro3_resp.keys,intro3_resp.rt,pracintro.started,pracintro_resp.started,pracintro_resp.keys,pracintro_resp.rt,image.started,early.started,RESP.started,late.started,pracfeedback.started,pracfeedback.stopped,image.stopped,text_4.started,text_4.stopped,text_5.started,baselinerecord.started,intro_5.started,intro5_resp.started,intro5_resp.keys,intro5_resp.rt,main_image_2.started,etRecord.started,main_image_2.stopped,fix.started,fix.stopped,main_early.started,ct_resp.started,main_late.started,ct_resp.keys,ct_resp.corr,ct_resp.rt,intro.started,intro2_resp_2.started,intro2_resp_2.keys,intro2_resp_2.rt,fengjing.started,text.started,fengjing.stopped,text.stopped,key_resp.started,text_2.started,text_3.started,key_resp.keys,key_resp.corr,key_resp.rt,intro_6.started,intro5_resp_2.started,intro5_resp_2.keys,intro5_resp_2.rt,intro_3.started,intro2_resp_3.started,intro2_resp_3.keys,intro2_resp_3.rt,intro_7.started,intro2_resp_5.started,intro2_resp_5.keys,intro2_resp_5.rt,intro_4.started,intro2_resp_4.started,intro2_resp_4.keys,intro2_resp_4.rt,intro_8.started,intro2_resp_6.started,intro2_resp_6.keys,intro2_resp_6.rt,theend.started,theend.stopped,participant,session,date,expName,psychopyVersion,frameRate,
77,Month,九月 ,七月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,29,29,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.70206480001798,1.0120012999977916,256.70981059997575,256.7928522999864,257.5927288000239,257.69272509997245,257.69272509997245,257.69272509997245,up,1,1.1251010000123642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
13,Month,四月,七月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,30,30,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.8452404999989,0.9995834999717772,259.85868299996946,259.9421420000144,260.7417274999898,260.84179109998513,260.84179109998513,260.84179109998513,right,1,0.91828089999035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
75,Month,十月 ,九月 ,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,0,31,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.7998924999847,1.0155261000036262,262.8078626000206,262.89136150002014,263.6908725000103,263.7908154000179,263.7908154000179,263.7908154000179,down,1,1.482817799958866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
45,Month,九月 ,五月,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,32,32,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.30205100000603,1.0110142000485212,266.3065772000118,266.3899131999933,267.189553299977,267.2896042999928,267.2896042999928,267.2896042999928,left,1,1.0475956000154838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
132,Week,星期四,星期一,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,incongruent,,,,,,,,,,,,,,0,33,33,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.3605348999845,0.9991682999534532,269.3723186000134,269.4557525999844,270.25547919998644,270.35529500001576,270.35529500001576,270.35529500001576,left,1,1.0367322999518365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
24,Month,六月,九月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,34,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.42935619998025,0.9990830000024289,272.43785819999175,272.52134640002623,273.32095869997283,273.4210760999704,273.4210760999704,273.4210760999704,up,1,1.3565797000192106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
20,Month,四月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,0,35,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.81153950002044,1.012862999981735,275.8203311000252,275.9035035999841,276.703304100025,276.8031908000121,276.8031908000121,276.8031908000121,up,1,1.49375790002523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
16,Month,六月,八月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.3323454000056,1.0104557999875396,279.3356953000184,279.41908889997285,280.21869810001226,280.31869759998517,280.31869759998517,280.31869759998517,right,1,1.4173936999868602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
118,Week,星期一,星期四,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,37,37,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.7778508000192,1.0112275999854319,282.7845050999895,282.8678039999795,283.66773420001846,283.7677087999764,283.7677087999764,283.7677087999764,down,1,1.7045400000060908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
126,Week,星期三 ,星期二,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,incongruent,,,,,,,,,,,,,,0,38,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.508216599992,1.0153360000113025,286.51647299999604,286.5999586000107,287.39966870000353,287.49966169998515,287.49966169998515,287.49966169998515,left,0,1.6140897999866866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
26,Month,六月,八月,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,congruent,,,,,,,,,,,,,,0,39,39,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.14212129998486,1.0112961999839172,290.14872820000164,290.23204500001157,291.03182839998044,291.1318073999719,291.1318073999719,291.1318073999719,up,1,1.588962400041055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
101,Week,星期五,星期六,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,0,40,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.75643230002606,1.013076400035061,293.7642802000046,293.8474955999991,294.647350299987,294.74758229998406,294.74758229998406,294.74758229998406,left,1,1.182226900011301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
34,Month,六月,二月,,Hori,early,right,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",4,incongruent,,,,,,,,,,,,,,0,41,41,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.95809269999154,1.0102692000218667,296.96308560000034,297.0467009000131,297.84622950002085,297.94637520000106,297.94637520000106,297.94637520000106,right,1,1.725817599974107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
120,Week,星期三 ,星期六,,Vert,late,down,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",3,congruent,,,,,,,,,,,,,,0,42,42,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.70748719997937,1.0151483999798074,300.71190599998226,300.79543870000634,301.5950800999999,301.69499360001646,301.69499360001646,301.69499360001646,down,1,1.1305521999602206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
139,Week,星期四,星期一,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,0,43,43,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.8524780999869,1.0153092999826185,303.8608947999892,303.9442410999909,304.74383960000705,304.84401140001137,304.84401140001137,304.84401140001137,down,1,1.9012572999927215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
136,Week,星期日,星期五,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,0,44,44,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.7920722999843,1.0115377000183798,307.7929946000222,307.8763402000186,308.67604220000794,308.77618510002503,308.77618510002503,308.77618510002503,left,1,1.240615499962587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
150,Week,星期日,星期五,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,0,45,45,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0479550000164,1.011634700000286,311.0586312999949,311.1416849999805,311.9415740999975,312.0417293999926,312.0417293999926,312.0417293999926,up,1,1.2555001999717206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
107,Week,星期四,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,46,46,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.33326679997845,1.010511200001929,314.3407953999704,314.4241287999903,315.2237294000224,315.3238324999693,315.3238324999693,315.3238324999693,right,1,1.245831599982921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
101,Week,星期五,星期日,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",2,congruent,,,,,,,,,,,,,,0,47,47,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.6051554000005,1.0110392000060529,317.60631439997815,317.68971100001363,318.489419599995,318.589415800001,318.589415800001,318.589415800001,left,1,1.3480698999483138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
106,Week,星期三 ,星期六,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,0,48,48,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.966563199996,1.0124269999796525,320.9718443999882,321.0553821999929,321.8549758999725,321.95500419999007,321.95500419999007,321.95500419999007,right,1,1.101218499999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
58,Month,六月,二月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",4,incongruent,,,,,,,,,,,,,,0,49,49,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.096736699983,1.011799100029748,324.1041882999707,324.18771430000197,324.9874640000053,325.087341299979,325.087341299979,325.087341299979,up,1,1.1782929000328295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.287167100003,326.287167100003,space,7.490258599980734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,Spring 5.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 5.jpg,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.3229767999728,337.78740159998415,338.3328889000113,339.7990986999939,339.7990986999939,339.7990986999939,339.7990986999939,right,0,0.05002339999191463,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,Spring 4.jpg,这是秋天吗？,否,Right,Break_material/Image/Spring 4.jpg,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.25779940001667,343.8522172999801,344.2639850000269,345.86360939999577,345.86360939999577,345.86360939999577,345.86360939999577,right,0,0.9770731999888085,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,Spring 6.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 6.jpg,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.5525990999886,350.8509923000238,351.5617301000166,352.8611834999756,352.8611834999756,352.8611834999756,352.8611834999756,left,0,4.851667000039015,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,Spring 1.jpg,这是春天吗？,是,Left,Break_material/Image/Spring 1.jpg,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.98848,361.7288111000089,361.99165179999545,363.7409176999936,363.7409176999936,363.7409176999936,363.7409176999936,left,0,0.7799866999848746,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,Spring 3.jpg,这是夏天吗？,否,Right,Break_material/Image/Spring 3.jpg,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.5984371000086,368.5273553999723,368.6064078999916,370.5389484000043,370.5389484000043,370.5389484000043,370.5389484000043,right,0,0.5977904999745078,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,Spring 2.jpg,这是冬天吗？,否,Right,Break_material/Image/Spring 2.jpg,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.2508314999868,375.1408236999996,375.2540059000021,377.15338009997504,377.15338009997504,377.15338009997504,377.15338009997504,right,0,0.3513242000481114,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.5367497000261,377.5367497000261,space,4.311179800017271,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
21,Month,五月,九月 ,,Vert,early,up,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,0,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.8886030999711,0.9990298000047915,382.90157520002685,382.96818219998386,383.7678934999858,383.86793790000957,383.86793790000957,383.86793790000957,up,1,1.7642248999909498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
11,Month,十一月 ,十二月,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.6607708000229,1.0115082999691367,386.6669457000098,386.75034009997034,387.55006470001535,387.64997239998775,387.64997239998775,387.64997239998775,left,1,1.558668099984061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
84,Month,八月,七月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",1,incongruent,,,,,,,,,,,,,,,,,,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.24912440002663,1.0112658999860287,390.24914889998036,390.3324548000237,391.1321400000015,391.23218629998155,391.23218629998155,391.23218629998155,up,1,1.2971473000361584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
10,Month,二月,六月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,3,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.5598180000088,1.012013300030958,393.564807799994,393.64796570001636,394.4477375000133,394.54765030002454,394.54765030002454,394.54765030002454,right,1,0.981663100013975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
134,Week,星期五,星期三 ,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,4,4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.55801739997696,1.0102742000017315,396.5636179000139,396.6470077999984,397.446612300002,397.54683269996895,397.54683269996895,397.54683269996895,left,1,0.8221169000025839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
16,Month,八月,十二月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",4,congruent,,,,,,,,,,,,,,,,,,,,,,0,5,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.401515799982,1.0146852999459952,400.41236670000944,400.49578240001574,401.2955341999768,401.39556530001573,401.39556530001573,401.39556530001573,right,1,0.6846981999697164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
61,Month,十月 ,七月,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.1263880999759,1.0116593000129797,403.12822329998016,403.2114152999711,404.01116130000446,404.1112723000115,404.1112723000115,404.1112723000115,down,1,1.2742751999758184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
2,Month,二月,五月,,Hori,early,left,image/Chi_early.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,7,7,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.4197506000055,1.0128402999835089,406.4270457000239,406.51052930002334,407.3102340999758,407.4103399000014,407.4103399000014,407.4103399000014,left,1,0.8308609999949113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
13,Month,二月,三月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,8,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.27015029999893,1.0129058999591507,409.27619359997334,409.3596586000058,410.1590773999924,410.25916030001827,410.25916030001827,410.25916030001827,right,1,0.7332376999547705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
18,Month,九月 ,十二月,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",3,congruent,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.01747810002416,1.0116028999909759,412.02539279998746,412.1087743000244,412.90839890000643,413.0081201000139,413.0081201000139,413.0081201000139,right,1,0.6654629000113346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
60,Month,十二月,十月 ,,Hori,late,left,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,10,10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.6973662999808,1.0139003999647684,414.7076519000111,414.79105379997054,415.5908348999801,415.69075489998795,415.69075489998795,415.69075489998795,left,1,0.7585663000354543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
65,Month,七月,五月,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.48215649998747,0.9990709999692626,418.4897055000183,418.57313789997716,419.37301029998343,419.47294379997766,419.47294379997766,419.47294379997766,down,1,1.1922483000089414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
72,Month,四月,二月,,Vert,late,up,image/Chi_late.png,"[0, 0.4]","[0, -0.4]",2,incongruent,,,,,,,,,,,,,,,,,,,,,,0,12,12,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.70416680001654,1.013554600009229,421.7053417999996,421.7886684000259,422.588424400019,422.68838309997227,422.68838309997227,422.68838309997227,up,1,1.057047100039199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
55,Month,四月,一月,,Vert,early,down,image/Chi_early.png,"[0, 0.4]","[0, -0.4]",3,incongruent,,,,,,,,,,,,,,,,,,,,,,0,13,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.7852930999943,1.0115446000127122,424.78776049998123,424.8709954000078,425.6705065999995,425.7705203000223,425.7705203000223,425.7705203000223,down,1,0.9431356000131927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
21,Month,十月 ,十一月 ,,Hori,late,right,image/Chi_late.png,"[-0.4, 0]","[0.4, 0]",1,congruent,,,,,,,,,,,,,,,,,,,,,,0,14,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.7440910000005,0.999036299996078,427.7533896000241,427.8368047000258,428.6364027999807,428.7364780000062,428.7364780000062,428.7364780000062,right,1,0.7680162999895401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2023-11-19_13h35.59.674,ETproject_Chi_2023.1.1,2023.1.1,60.01842565723753,
